Tanggal,Hari,Bulan,Tahun,Rayon,Weekend,Libur_Nasional,Jumlah Jukir,Total_Pendapatan
2023-01-01,Minggu,1,2023,1,1,0,80,110000
2023-01-01,Minggu,1,2023,2,1,0,82,450000
2023-01-01,Minggu,1,2023,3,1,0,66,170000
2023-01-01,Minggu,1,2023,4,1,0,122,565000
2023-01-01,Minggu,1,2023,5,1,0,70,80000
2023-01-02,Senin,1,2023,1,0,0,80,1200000
2023-01-02,Senin,1,2023,2,0,0,82,1681000
2023-01-02,Senin,1,2023,3,0,0,66,1755000
2023-01-02,Senin,1,2023,4,0,0,122,1667000
2023-01-02,Senin,1,2023,5,0,0,70,1925000
2023-01-03,Selasa,1,2023,1,0,0,80,1200000
2023-01-03,Selasa,1,2023,2,0,0,82,1700000
2023-01-03,Selasa,1,2023,3,0,0,66,1788000
2023-01-03,Selasa,1,2023,4,0,0,122,1906000
2023-01-03,Selasa,1,2023,5,0,0,70,1924000
2023-01-04,Rabu,1,2023,1,0,0,80,1201000
2023-01-04,Rabu,1,2023,2,0,0,82,1682000
2023-01-04,Rabu,1,2023,3,0,0,66,1768000
2023-01-04,Rabu,1,2023,4,0,0,122,1920000
2023-01-04,Rabu,1,2023,5,0,0,70,1943000
2023-01-05,Kamis,1,2023,1,0,0,80,1204000
2023-01-05,Kamis,1,2023,2,0,0,82,1693000
2023-01-05,Kamis,1,2023,3,0,0,66,1790000
2023-01-05,Kamis,1,2023,4,0,0,122,1884000
2023-01-05,Kamis,1,2023,5,0,0,70,1935000
2023-01-06,Jumat,1,2023,1,0,0,80,1200000
2023-01-06,Jumat,1,2023,2,0,0,82,1720000
2023-01-06,Jumat,1,2023,3,0,0,66,1794000
2023-01-06,Jumat,1,2023,4,0,0,122,1900000
2023-01-06,Jumat,1,2023,5,0,0,70,1991000
2023-01-07,Sabtu,1,2023,1,1,0,80,800000
2023-01-07,Sabtu,1,2023,2,1,0,82,1723000
2023-01-07,Sabtu,1,2023,3,1,0,66,1773000
2023-01-07,Sabtu,1,2023,4,1,0,122,1398000
2023-01-07,Sabtu,1,2023,5,1,0,70,1930000
2023-01-08,Minggu,1,2023,1,1,0,80,77000
2023-01-08,Minggu,1,2023,2,1,0,82,580000
2023-01-08,Minggu,1,2023,3,1,0,66,204000
2023-01-08,Minggu,1,2023,4,1,0,122,857000
2023-01-08,Minggu,1,2023,5,1,0,70,169000
2023-01-09,Senin,1,2023,1,0,0,80,1235000
2023-01-09,Senin,1,2023,2,0,0,82,1725000
2023-01-09,Senin,1,2023,3,0,0,66,1759000
2023-01-09,Senin,1,2023,4,0,0,122,1718000
2023-01-09,Senin,1,2023,5,0,0,70,1946000
2023-01-10,Selasa,1,2023,1,0,0,80,1140000
2023-01-10,Selasa,1,2023,2,0,0,82,1737000
2023-01-10,Selasa,1,2023,3,0,0,66,1794000
2023-01-10,Selasa,1,2023,4,0,0,122,1924000
2023-01-10,Selasa,1,2023,5,0,0,70,1940000
